,date,T2M,PRECIP,RH2M
0,1986-06-01,31.13,1.25,25.48
1,1986-06-02,31.35,3.38,30.59
2,1986-06-03,33.0,0.0,25.53
3,1986-06-04,32.54,1.91,23.78
4,1986-06-05,33.34,0.0,21.83
5,1986-06-06,33.58,0.04,19.57
6,1986-06-07,34.81,0.0,16.61
7,1986-06-08,35.13,0.0,13.7
8,1986-06-09,36.25,0.0,11.99
9,1986-06-10,37.49,0.0,10.98
10,1986-06-11,36.88,0.0,15.41
11,1986-06-12,37.62,0.0,16.88
12,1986-06-13,37.94,0.0,16.78
13,1986-06-14,38.63,0.0,14.86
14,1986-06-15,39.68,0.0,11.99
15,1986-06-16,39.46,0.0,13.99
16,1986-06-17,39.72,0.0,15.78
17,1986-06-18,39.38,0.0,21.39
18,1986-06-19,40.83,0.0,14.73
19,1986-06-20,40.98,0.0,12.37
20,1986-06-21,39.61,0.0,22.76
21,1986-06-22,40.2,0.0,25.09
22,1986-06-23,40.96,0.48,24.03
23,1986-06-24,39.85,3.87,28.88
24,1986-06-25,37.25,6.64,42.76
25,1986-06-26,34.35,15.7,50.89
26,1986-06-27,32.58,4.27,54.0
27,1986-06-28,35.29,0.1,41.26
28,1986-06-29,32.28,5.38,48.12
29,1986-06-30,31.97,3.53,53.97
30,1986-07-01,31.7,5.27,51.57
31,1986-07-02,32.34,3.19,48.78
32,1986-07-03,33.48,0.0,42.37
33,1986-07-04,34.83,0.0,36.77
34,1986-07-05,35.45,0.0,39.79
35,1986-07-06,36.58,0.0,39.4
36,1986-07-07,34.29,9.83,46.7
37,1986-07-08,32.97,14.11,55.36
38,1986-07-09,32.7,11.82,57.36
39,1986-07-10,32.64,4.64,51.89
40,1986-07-11,32.85,12.48,50.91
41,1986-07-12,32.77,9.18,52.66
42,1986-07-13,34.16,0.0,47.11
43,1986-07-14,35.27,0.0,43.31
44,1986-07-15,36.04,0.0,40.45
45,1986-07-16,36.51,0.0,37.24
46,1986-07-17,36.4,0.16,43.78
47,1986-07-18,34.55,1.68,45.93
48,1986-07-19,33.02,0.81,52.36
49,1986-07-20,33.73,2.34,49.99
50,1986-07-21,34.33,3.38,47.59
51,1986-07-22,32.42,1.93,53.06
52,1986-07-23,33.13,2.18,54.16
53,1986-07-24,32.95,4.07,50.81
54,1986-07-25,33.24,3.29,50.24
55,1986-07-26,33.28,0.86,51.85
56,1986-07-27,31.08,2.97,56.84
57,1986-07-28,31.89,8.03,55.33
58,1986-07-29,31.51,10.79,59.8
59,1986-07-30,32.39,0.75,54.38
60,1986-07-31,30.87,0.04,60.5
61,1986-08-01,29.26,12.65,72.04
62,1986-08-02,29.83,32.57,73.44
63,1986-08-03,32.25,0.12,60.48
64,1986-08-04,31.48,2.46,58.16
65,1986-08-05,30.81,4.84,63.41
66,1986-08-06,31.66,0.07,60.57
67,1986-08-07,31.48,0.14,61.62
68,1986-08-08,31.78,28.35,61.61
69,1986-08-09,31.65,10.08,66.11
70,1986-08-10,32.7,0.72,61.11
71,1986-08-11,32.38,0.0,59.98
72,1986-08-12,33.41,0.0,55.8
73,1986-08-13,31.0,2.06,64.59
74,1986-08-14,30.46,20.57,68.16
75,1986-08-15,31.06,6.27,68.2
76,1986-08-16,32.42,2.19,61.67
77,1986-08-17,32.28,1.79,60.39
78,1986-08-18,32.5,0.77,58.5
79,1986-08-19,31.67,0.17,61.05
80,1986-08-20,31.61,0.11,59.94
81,1986-08-21,30.98,7.26,60.7
82,1986-08-22,31.76,1.54,57.62
83,1986-08-23,31.74,0.47,57.74
84,1986-08-24,31.73,2.57,56.64
85,1986-08-25,31.36,0.07,46.09
86,1986-08-26,30.72,0.05,45.68
87,1986-08-27,30.8,0.0,45.66
88,1986-08-28,31.44,0.0,45.62
89,1986-08-29,31.59,0.0,46.4
90,1986-08-30,31.65,0.0,43.94
91,1986-08-31,31.32,1.6,45.88
92,1986-09-01,31.66,0.0,42.3
93,1986-09-02,31.6,0.0,41.01
94,1986-09-03,31.62,0.0,39.89
95,1986-09-04,31.65,0.0,38.64
96,1986-09-05,31.35,0.0,37.85
97,1986-09-06,30.77,0.0,38.08
98,1986-09-07,31.07,0.0,38.57
99,1986-09-08,31.92,0.0,34.11
100,1986-09-09,30.85,0.0,32.54
101,1986-09-10,30.84,0.14,35.0
102,1986-09-11,31.38,0.09,37.75
103,1986-09-12,30.68,0.0,42.98
104,1986-09-13,30.09,0.0,42.57
105,1986-09-14,27.82,18.92,50.12
106,1986-09-15,28.13,0.01,47.98
107,1986-09-16,28.46,0.0,43.4
108,1986-09-17,29.39,0.0,37.59
109,1986-09-18,30.05,0.0,33.58
110,1986-09-19,29.84,0.0,32.51
111,1986-09-20,29.9,0.0,33.14
